,round,attendance,Capacity,inConstruction,rank,rank_opp,goal_diff,pts_l1m,pts_l2m,pts_l3m,pts_l4m,pts_l5m,pts_l6m,pts_l7m,pts_l8m,pts_l9m,pts_l10m,gs_l1m,gs_l2m,gs_l3m,gs_l4m,gs_l5m,gs_l6m,gs_l7m,gs_l8m,gs_l9m,gs_l10m,gd_l1m,gd_l2m,gd_l3m,gd_l4m,gd_l5m,gd_l6m,gd_l7m,gd_l8m,gd_l9m,gd_l10m,rank_diff,final_round,own_city,hour_dec,cloudcover_avg2h,tempC_avg2h,precip_sum2h,cloudcover_avg3h,tempC_avg3h,precip_sum3h,cloudcover_avg4h,tempC_avg4h,precip_sum4h,cloudcover_avg5h,tempC_avg5h,precip_sum5h,cloudcover_avg6h,tempC_avg6h,precip_sum6h,cloudcover_avg7h,tempC_avg7h,precip_sum7h,cloudcover_avg8h,tempC_avg8h,precip_sum8h,cloudcover_avg9h,tempC_avg9h,precip_sum9h,cloudcover_avg10h,tempC_avg10h,precip_sum10h,cloudcover_avg11h,tempC_avg11h,precip_sum11h,cloudcover_avg12h,tempC_avg12h,precip_sum12h,home_team_Arka Gdynia,home_team_Cracovia Kraków,home_team_GKS Bełchatów,home_team_Górnik Zabrze,home_team_Górnik Łęczna,home_team_Jagiellonia Białystok,home_team_Korona Kielce,home_team_Lech Poznań,home_team_Lechia Gdańsk,home_team_Legia Warszawa,home_team_Miedź Legnica,home_team_Piast Gliwice,home_team_Podbeskidzie Bielsko-Biała,home_team_Pogoń Szczecin,home_team_Raków Częstochowa,home_team_Ruch Chorzów,home_team_Sandecja Nowy Sącz,home_team_Termalica Nieciecza,home_team_Widzew Łódź,home_team_Wisła Kraków,home_team_Wisła Płock,home_team_Zagłębie Lubin,home_team_Zagłębie Sosnowiec,home_team_Zawisza Bydgoszcz,home_team_ŁKS Łódź,home_team_Śląsk Wrocław,away_team_Arka Gdynia,away_team_Cracovia Kraków,away_team_GKS Bełchatów,away_team_Górnik Zabrze,away_team_Górnik Łęczna,away_team_Jagiellonia Białystok,away_team_Korona Kielce,away_team_Lech Poznań,away_team_Lechia Gdańsk,away_team_Legia Warszawa,away_team_Miedź Legnica,away_team_Piast Gliwice,away_team_Podbeskidzie Bielsko-Biała,away_team_Pogoń Szczecin,away_team_Raków Częstochowa,away_team_Ruch Chorzów,away_team_Sandecja Nowy Sącz,away_team_Termalica Nieciecza,away_team_Widzew Łódź,away_team_Wisła Kraków,away_team_Wisła Płock,away_team_Zagłębie Lubin,away_team_Zagłębie Sosnowiec,away_team_Zawisza Bydgoszcz,away_team_ŁKS Łódź,away_team_Śląsk Wrocław,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
0,1,10101,15139,0,14.0,9.0,-11.5,0.0,1.0,4.0,4.0,7.0,7.0,8.0,9.0,10.0,11.5,1.0,2.0,4.0,4.0,5.5,6.0,7.0,8.0,9.0,10.0,-1.0,-1.0,-1.0,-2.0,-1.0,-2.0,-2.0,-3.0,-3.5,-4.0,-4.5,0,1,18.0,36.5,19.0,0.0,35.33,19.33,0.0,34.0,19.5,0.0,33.4,19.6,0.0,33.17,19.67,0.0,33.0,19.71,0.0,31.88,19.75,0.0,30.22,19.67,0.0,28.1,19.6,0.0,26.45,19.45,0.0,25.25,19.25,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,13285,31103,0,2.0,8.0,12.0,3.0,4.0,6.0,7.0,10.0,12.0,13.0,16.0,18.0,21.0,2.0,4.0,5.5,9.0,11.0,13.5,15.0,17.5,19.0,22.0,1.0,2.0,2.0,4.0,6.0,7.5,7.5,9.0,10.0,11.0,5.0,0,1,17.5,60.5,27.5,0.3,62.33,28.0,0.6,62.25,28.25,0.8,61.2,28.4,0.8,59.83,28.33,0.8,58.43,28.14,0.8,57.12,27.88,0.8,55.78,27.56,0.8,54.2,27.2,0.8,52.45,26.82,0.8,50.58,26.33,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,5452,5700,0,15.0,7.0,-13.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,5.0,7.0,1.0,1.0,2.5,3.0,4.0,5.0,6.0,6.0,8.0,9.0,-1.0,-2.0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0,-9.5,-9.0,-4.0,0,1,20.5,80.5,22.5,0.2,78.0,23.0,0.2,74.0,23.5,0.2,69.4,24.0,0.2,64.5,24.33,0.2,60.43,24.57,0.2,56.88,24.75,0.2,53.67,24.78,0.2,51.1,24.8,0.2,49.0,24.73,0.2,47.17,24.58,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,4698,9913,0,6.0,7.0,2.0,0.0,3.0,4.0,6.0,7.0,8.5,10.5,14.0,14.0,17.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,12.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.5,1.0,0,1,20.0,58.5,24.5,0.0,53.67,25.0,0.0,51.0,25.25,0.0,49.2,25.6,0.0,47.83,25.83,0.0,46.86,26.0,0.0,46.12,26.12,0.0,45.56,26.22,0.0,44.8,26.2,0.0,43.91,26.09,0.0,42.83,25.92,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,1,3365,5264,0,11.0,8.0,-5.0,0.0,3.0,3.0,5.0,7.0,9.0,10.0,11.0,13.0,14.0,1.0,3.0,4.0,5.5,7.0,8.0,10.0,10.5,12.0,13.0,-1.0,-1.0,-2.0,-1.5,-1.0,-2.0,-2.0,-3.0,-2.0,-3.0,-3.0,0,0,15.0,48.0,26.0,0.0,48.0,26.0,-0.0,48.0,25.75,0.1,50.2,25.4,0.2,53.67,25.0,0.3,57.71,24.57,0.5,60.62,24.12,0.6,62.67,23.56,0.7,64.2,23.0,1.0,65.09,22.45,1.2,65.5,22.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,1,14613,33130,0,13.5,9.5,-8.0,0.0,3.0,4.0,6.0,7.0,7.0,10.0,11.0,11.0,11.5,1.0,2.0,4.0,6.0,6.5,8.0,9.0,10.0,10.5,12.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-2.0,-3.0,-6.0,-5.5,0,1,17.5,44.5,25.5,0.3,36.67,25.67,0.3,32.0,25.75,0.3,28.4,25.6,0.3,25.5,25.5,0.3,24.0,25.29,0.3,23.38,25.0,0.3,23.33,24.67,0.3,23.8,24.2,0.3,24.64,23.73,0.3,25.75,23.17,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,1,5316,10978,0,8.5,8.0,-6.5,1.0,3.0,5.0,5.5,7.0,9.0,9.0,10.5,11.5,14.0,1.0,2.0,3.5,4.5,5.0,6.0,7.0,9.0,10.0,14.0,0.0,0.0,0.0,-0.5,-0.5,-2.0,-3.0,-2.0,-3.0,-1.0,-2.0,0,1,18.0,75.5,21.0,0.0,70.0,21.33,0.0,64.75,21.75,0.0,60.6,22.0,0.0,57.0,22.17,0.0,53.57,22.29,0.0,52.25,22.38,0.0,52.33,22.33,0.0,53.4,22.3,0.0,52.73,22.09,0.0,50.67,21.83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,1,5013,16068,0,10.0,9.0,0.5,0.0,3.0,4.0,5.0,7.0,7.0,10.0,10.5,13.0,14.0,1.0,2.0,4.0,4.0,6.0,8.0,9.0,12.5,15.0,18.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,2.0,2.0,1.0,0,1,15.0,55.5,25.0,0.3,48.67,25.0,0.3,41.75,25.0,0.3,38.8,25.0,0.3,37.83,24.83,0.7,38.0,24.71,1.5,39.62,24.5,2.1,42.22,24.22,3.2,45.5,23.9,5.5,48.27,23.55,7.2,50.58,23.17,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,2,8043,15114,0,5.0,10.0,0.0,1.0,3.0,6.0,7.0,9.0,10.0,13.0,14.0,16.0,18.0,1.0,3.0,4.0,6.0,7.0,9.0,10.0,10.0,12.0,13.5,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0,0,1,17.5,72.5,23.5,0.2,69.0,23.67,0.2,63.5,23.75,0.2,57.2,23.8,0.2,50.5,23.83,0.2,45.14,23.86,0.2,40.62,23.75,0.2,36.56,23.56,0.2,33.4,23.3,0.2,30.91,22.91,0.2,28.92,22.5,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9,2,17067,24563,0,11.0,9.0,0.0,0.0,3.0,3.0,6.0,5.5,8.0,8.0,9.0,9.5,11.5,1.0,2.0,3.0,5.0,6.0,7.0,10.0,11.0,12.5,13.5,-1.0,0.0,-1.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-1.0,-2.0,0,1,18.0,24.0,24.5,-0.0,27.33,25.0,0.1,30.5,25.5,0.3,35.4,25.8,0.5,41.17,26.0,0.9,47.43,26.14,1.7,51.62,26.12,2.3,54.44,26.11,2.6,56.3,26.0,3.2,56.82,25.82,3.6,56.25,25.58,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
